id,CZE,ENG,FIN,FRE,GER,ITA,POL,POR,RUS,SPA,SWE,SCR,NOR,DUT,LAV
C0020507,hyperplazie,Hyperplasia,Hyperplasia,Hyperplasie,Hyperplasie,Iperplasia,Rozrost,Hiperplasia,ГИПЕРПЛАЗИЯ,Hiperplasia,Hyperplasi,HIPERPLAZIJA,Hyperplasi,Hyperplasie,
C0026141,,,,,,,,,,,,,,Melk-alkalisyndroom,
C0035848,obturace kořenového kanálku,Root Canal Obturation,Juurikanavan sulkeminen,Obturation de canal radiculaire,Wurzelkanalfüllung,Otturazione del canale radicolare,Wypełnienie kanałów korzeniowych,Obturação do Canal Radicular,КОРНЕВОГО КАНАЛА ОБТУРАЦИЯ,Obturación del Conducto Radicular,Rotkanalfyllning,"KORIJENSKI KANAL, OPTURACIJA","Rotkanaler, obturering","Vulling, wortelkanaal-",
C0376482,Erythrovirus,Erythrovirus,Erythrovirus,Erythrovirus,Erythrovirus,Erythrovirus,Erythrovirus,Erythrovirus,ERYTHROVIRUS,Erythrovirus,Erythrovirus,,Erythrovirus,"Virus, erythro-",
C1256764,"receptory pro thromboxan A2, prostaglandin H2","Receptors, Thromboxane A2, Prostaglandin H2","Tromboksaani A2, prostaglandiini H2 -reseptorit",Récepteurs du thromboxane 2 et prostaglandine H2,"Rezeptoren, Thromboxan A2, Prostaglandin H2",Recettori del trombossano A2 e della prostaglandina H2,Receptory tromboksanu A2 prostaglandyny H2,Receptores de Tromboxano A2 e Prostaglandina H2,"РЕЦЕПТОРЫ ТРОМБОКСАНА A2, ПРОСТАГЛАНДИНА H2",Receptores de Tromboxano A2 y Prostaglandina H2,"Tromboxan A2, prostaglanding H2-receptorer",,,,
C0020691,hypoxanthiny,Hypoxanthines,Hypoksantiinit,Hypoxanthines,Hypoxanthine,Ipossantine,Hipoksantyny pochodne,Hipoxantinas,ГИПОКСАНТИНЫ,Hipoxantinas,Hypoxantiner,,Not Translated[Hypoxanthines],,
C0996900,Buxaceae,Buxaceae,Buxaceae,Buxaceae,Buxaceae,Buxaceae,Bukszpanowate,Buxaceae,САМШИТОВЫЕ,Buxaceae,Boxbomsväxter,,Buxaceae,Buxaceae,
C0041948,uremie,Uremia,Uremia,Urémie,Urämie,Uremia,Mocznica,Uremia,УРЕМИЯ,Uremia,Uremi,UREMIJA,Uremi,Uremie,
C0950015,Citrullus,Citrullus,Citrullus,Citrullus,Citrullus,Citrullus,Arbuz,Citrullus,АРБУЗ,Citrullus,Vattenmelon,,Citrullus,Citrullus,
C1696945,duševní vyhoření,"Burnout, Psychological",,Épuisement psychologique,Burnout Syndrom,Burnout psicologico,Zespół wypalenia,Esgotamento Psicológico,ВЫГОРАНИЕ ПСИХОЛОГИЧЕСКОЕ,Agotamiento Psicológico,Utbrändhet,"Not Translated[Burnout, Psychological]",Psykisk utbrenthet,,
C1956054,"proteiny inaktivující ribozomy, typ 2","Ribosome Inactivating Proteins, Type 2",Tyypin 2 ribosomeja inaktivoiva proteiini,Protéines inactivant les ribosomes de type 2,"Ribosomen-inaktivierende Proteine, Typ 2",Proteine inattivanti il ribosoma di tipo 2,Białka inaktywujące rybosomy typu 2,Proteínas Inativadoras de Ribossomos Tipo 2,РИБОСОМА-ИНАКТИВИРУЮЩИЕ БЕЛКИ ТИПА 2,Proteínas Inactivadoras de Ribosomas Tipo 2,"Ribosominaktiverande proteiner, typ 2",,,,
C0032808,,,,,,,,,,,,,,Post-flebitisulcus,
C0221009,,,,,,,,,,,,,,Costoclaviculair syndroom,
C2350611,kuchařské knihy jako téma,Cookbooks as Topic,,Livres de cuisine comme sujet,Kochbücher [Dokumenttyp],Libri di cucina (come argomento),Książki kucharskie,Livros de Culinária como Assunto,КУЛИНАРНАЯ КНИГА КАК ТЕМА,Libros de Cocina como Asunto,Kokböcker som ämne,,Kokebøker som emne,,
C0814050,teorie plánovaného chování,Theory of Planned Behavior,,Théorie du comportement planifié,Theorie des geplanten Verhaltens,,Teoria planowanego zachowania,Teoria do Comportamento Planejado,ТЕОРИЯ ЗАПЛАНИРОВАННОГО ПОВЕДЕНИЯ,Teoría del Comportamiento Planificado,,,,,
C0206184,,,,,,,,,,,,,,Ambulancehelikopters,
C0017494,Gerstmannův syndrom,Gerstmann Syndrome,Gerstmannin oireyhtymä,Syndrome de Gerstmann,Gerstmann-Syndrom,Sindrome di Gerstmann,Zespół Gerstmanna,Síndrome de Gerstmann,ГЕРСТМАННА СИНДРОМ,Síndrome de Gerstmann,Gerstmanns syndrom,,Gerstmanns syndrom,VingeragnosielLinks-rechtsverwarring-acalculie-agrafie,
C0442015,,,,,,,,,,,,,,Digitale radiografie,
C0086029,kolagen typ XII,Collagen Type XII,Tyypin XII kollageeni,Collagène de type XII,Kollagen Typ XII,Collagene di tipo XII,Kolagen typ XII,Colágeno Tipo XII,КОЛЛАГЕН ТИПА XII,Colágeno Tipo XII,Kollagen typ XII,KOLAGEN TIPA XII,,,
C0016497,potrava speciální,"Food, Formulated",Ravintovalmisteet,Aliment formulé,Formeldiät,Alimenti formulati,Substytuty żywności,Alimentos Formulados,ПИЩЕВЫЕ РЕЦЕПТЫ,Alimentos Formulados,Specialanpassad mat,,Spesialprodukter,Voedsel met voorgeschreven samenstelling,
C0026848,nemoci svalů,Muscular Diseases,Lihastaudit,Maladies musculaires,Muskelkrankheiten,Malattie dei muscoli,Choroby mięśni,Doenças Musculares,МЫШЦ БОЛЕЗНИ,Enfermedades Musculares,Muskelsjukdomar,MIŠIĆNE BOLESTI,Muskelsykdommer,"Ziekte, spier-",
C0949975,Sapindaceae,Sapindaceae,Sapindaceae,Sapindaceae,Sapindaceae,Sapindaceae,Mydleńcowate,Sapindaceae,САПИНДОВЫЕ,Sapindaceae,Sapindaceae,,Sapindaceae,Sapindaceae,
C0079686,leucinové zipy,Leucine Zippers,Leusiinivetoketjut,Glissières à leucine,Leucin-Zippers,Leucine zipper,Suwaki leucynowe,Zíper de Leucina,ЛЕЙЦИНОВЫЕ ЗАСТЕЖКИ,Leucina Zippers,Leucinblixtlås,,,Leucine-zipper,
C0039003,plavání,Swimming,Uinti,Natation,Schwimmen,Nuoto,Pływanie,Natação,ПЛАВАНИЕ,Natación,Simning,Not Translated[Swimming],Svømming,Zwemmen,
C0054966,antigeny CD59,CD59 Antigens,CD59-antigeenit,Antigènes CD59,"Antigene, CD59-",Antigeni CD59,Antygeny CD59,Antígenos CD59,CD59 АНТИГЕНЫ,Antígenos CD59,CD59-antigener,,,,
C0025188,údolí Mekongu,Mekong Valley,Mekongin laakso,Vallée du Mékong,Mekong-Tal,Valle del Mekong,Dolina Mekongu,Vale do Mecom,ДОЛИНА МЕКОНГА,Valle Mekong,Mekongdalen,,Mekongdalen,Mekongvallei,
C4684977,inhibitory kontrolních bodů,Immune Checkpoint Inhibitors,,Inhibiteurs de points de contrôle immunitaires,Immuncheckpoint-Inhibitoren,,Inhibitory immunologicznych punktów kontrolnych,Inibidores de Checkpoint Imunológico,ИНГИБИТОРЫ ИММУННЫХ КОНТРОЛЬНЫХ ТОЧЕК,Inhibidores de Puntos de Control Inmunológico,Immunkontrollpunktshämmare,,,,
C0027149,myxom,Myxoma,Myksooma,Myxome,Myxom,Mixoma,Śluzak,Mixoma,МИКСОМА,Mixoma,Myxom,MIKSOM,Myksom,Myxoom,
C0042167,zadní uveitida,"Uveitis, Posterior",Posteriorinen uveiitti,Uvéite postérieure,Uveitis posterior,Uveite posteriore,Zapalenie błony naczyniowej tylnego odcinka,Uveíte Posterior,УВЕИТ ЗАДНИЙ,Uveítis Posterior,"Uveit, bakre","Not Translated[Uveitis, Posterior]",Bakre uveitt,Uveitis posterior,
C0751007,,,,,,,,,,,,,,Intracraniële arteriosclerose,
C0038238,steatorea,Steatorrhea,Rasvaripuli,Stéatorrhée,Steatorrhoe,Steatorrea,Stolce tłuszczowe,Esteatorreia,СТЕАТОРЕЯ,Esteatorrea,Steatorre,,Steatoré,Steatorroe,
C0003216,protivředové látky,Anti-Ulcer Agents,Ulkuslääkkeet,Antiulcéreux,Antiulkusmittel,Antiulcera,Leki przeciwwrzodowe,Antiulcerosos,ПРОТИВОЯЗВЕННЫЕ СРЕДСТВА,Antiulcerosos,Magsårsmedel,ANTIULKUSNA SREDSTVA,Midler mot ulcus,,
C1257888,změna skupenství,Phase Transition,Faasinmuutos,Transition de phase,Phasenübergang,Transizione di fase,Zmiana stanu skupienia,Transição de Fase,ФАЗОВЫЙ ПЕРЕХОД,Transición de Fase,Fasomvändning,,Faseovergang,Faseovergang,
C0273486,poranění bloudivého nervu,Vagus Nerve Injuries,,Lésions du nerf vague,Nervus vagus-Verletzungen,Lesioni del nervo vago,Urazy nerwu błędnego,Traumatismos do Nervo Vago,БЛУЖДАЮЩЕГО НЕРВА ПОВРЕЖДЕНИЯ,Traumatismos del Nervio Vago,Skador på vagusnerven,,Skade på nervus vagus,,
C4505347,homologní protein MRE11,MRE11 Homologue Protein,,Protéine homologue de MRE11,MRE11-homologes Protein,Proteina MRE11,Białko MRE11,Proteína Homóloga a MRE11,MRE11 ГОМОЛОГИЧНЫЙ БЕЛОК,Proteína Homóloga de MRE11,Not Translated[MRE11 Homologue Protein],,,,
C0424359,zanedbanost,Self-Neglect,,Négligence de soi,Selbst-Vernachlässigung,Auto-negligenza,Samozaniedbywanie,Autonegligência,НЕБРЕЖНОСТЬ,Autoabandono,Självförsummelse,,Selvneglisjering,,
C0027644,spontánní regrese nádoru,"Neoplasm Regression, Spontaneous",Kasvaimen spontaani regresssio,Régression tumorale spontanée,"Tumorrückbildung, spontane",Regressione spontanea della neoplasia,Regresja samoistna nowotworu,Regressão Neoplásica Espontânea,НОВООБРАЗОВАНИЙ РЕГРЕССИЯ СПОНТАННАЯ,Regresión Neoplásica Espontánea,"Tumörtillbakagång, spontan","TUMORI, SPONTANA REGRESIJA",Spontanremisjon av svulst,"Tumorremissie, spontane",
C0039457,telefon,Telephone,Puhelin,Téléphone,Telefon,Telefono,Telefon,Telefone,ТЕЛЕФОН,Teléfono,Telefon,TELEFON,Telefon,Telefoon,
C0085156,Bruchova membrána,Bruch Membrane,Bruchin kalvo,Membrane de Brüch,Bruch-Membran,Lamina vitrea,Blaszka podstawna naczyniówki,Lâmina Basilar da Corioide,БРУХА МЕМБРАНА,Lámina Basal de la Coroides,Bruchs membran,,Bruchs membran,Lamina basalis choroideae,
C0162853,pityriasis lichenoides,Pityriasis Lichenoides,Parapsoriasis lichenoides,Pityriasis lichénoïde,Pityriasis lichenoides,Pitiriasi lichenoide,Łupież liszajowaty,Pitiríase Liquenoide,ПИТИРИАЗ ЛИХЕНОИДНЫЙ,Pitiriasis Liquenoide,Pityriasis lichenoides,,Pityriasis lichenoides,Pityriasis lichenoides,
C0949897,Achyranthes,Achyranthes,Achyranthes,Achyranthes,Achyranthes,Achyranthes,Achyranthes,Achyranthes,ACHYRANTHES,Achyranthes,Achyranthes,,Achyranthes,Achyranthes,
C0002344,,,,,,,,,,,,,,"Recruitmentbalanstest, alternerende binaurale",
C0950054,Cytisus,Cytisus,Cytisus,Cytisus,Cytisus,Cytisus,Żarnowiec,Cytisus,РАКИТНИК,Cytisus,Cytisus,,Cytisus,Cytisus scoparius,
C3179108,techniky vsádkové kultivace,Batch Cell Culture Techniques,,Techniques de culture cellulaire en batch,Batch-Kultur-Techniken,Tecniche di coltura cellulare a sistema chiuso,Hodowle okresowe,Técnicas de Cultura Celular por Lotes,ПЕРИОДИЧЕСКОЙ КУЛЬТУРЫ КЛЕТОК МЕТОДЫ ИССЛЕДОВАНИЯ,Técnicas de Cultivo Celular por Lotes,Not Translated[Batch Cell Culture Techniques],,Batch-cellekulturteknikker,,
C1136395,toxikogenetika,Toxicogenetics,Toksikogenetiikka,Toxicogénétique,Toxikogenetik,Tossicogenetica,Toksykogenetyka,Toxicogenética,ТОКСИКОГЕНЕТИКА,Toxicogenética,Toxikogenetik,,Toksikogenetikk,Toxicogenetica,
C0018378,Guillainův-Barrého syndrom,Guillain-Barre Syndrome,Polyradikuliitti,Syndrome de Guillain-Barré,Guillain-Barré-Syndrom,Sindrome di Guillain-Barré,Zespół Guillaina-Barrego,Síndrome de Guillain-Barré,ГИЙЕНА-БАРРЕ СИНДРОМ,Síndrome de Guillain-Barré,Guillain-Barres syndrom,,Guillain-Barrés syndrom,AIDP,
C0017933,glykogensynthetasofosfatasa,Glycogen-Synthase-D Phosphatase,Glykogeenisyntaasi-D-fosfataasi,Glycogen-synthase-D phosphatase,Glycogen-Synthase-D-Phosphatase,Glicogeno-sintasi-D fosfatasi,Glikogeno-syntazo-D fosfataza,Glicogênio Sintase-D Fosfatase,ГЛИКОГЕН-СИНТАЗА-D-ФОСФАТАЗА,Glucógeno Sintasa-D Fosfatasa,Glykogensyntas-D-fosfatas,,,,
C0030288,vývody pankreatu,Pancreatic Ducts,Haimatiehyet,Conduits pancréatiques,Ductus pancreaticus,Dotti pancreatici,Przewód trzustkowy,Ductos Pancreáticos,ПОДЖЕЛУДОЧНОЙ ЖЕЛЕЗЫ ПРОТОКИ,Conductos Pancreáticos,Bukspottkörtelgångar,PANKREASNI KANALI,Bukspyttkjertelganger,Ductus pancreatici,
C0016452,potraviny,Food,Ruoka,Aliments,Nahrungsmittel,Alimenti,Żywność,Alimentos,ПИЩЕВЫЕ ПРОДУКТЫ,Alimentos,Livsmedel,HRANA,Mat,Voedsel,Not Translated[Food]
C0040250,tinea capitis,Tinea Capitis,Pälvisilsa,Teigne tondante,Tinea capitis,Tigna capitis,Grzybica owłosionej skóry głowy,Tinha do Couro Cabeludo,ДЕРМАТОФИТИЯ ВОЛОСИСТОЙ ЧАСТИ ГОЛОВЫ,Tiña del Cuero Cabelludo,Ringorm i hårbotten,Not Translated[Tinea Capitis],Hodebunnssopp,Tinea capitis,
C0013277,,,,,,,,,,,,,,Schuldproces,
C0060765,fruktosamin,Fructosamine,Fruktosamiini,Fructosamine,Fructosamin,Fruttosamina,Fruktozamina,Frutosamina,ФРУКТОЗАМИН,Fructosamina,Fruktosamin,,,,
C0024109,plíce,Lung,Keuhko,Poumon,Lunge,Polmone,Płuca,Pulmão,ЛЕГКИЕ,Pulmón,Lunga,PLUĆA,Lunge,Long,Plaušas
C2717795,studentská vizita,Teaching Rounds,,Visites d'enseignement clinique,Fortbildungsrunden,Teaching Rounds,Teaching Rounds,Visitas de Preceptoria,ВРАЧЕБНЫЙ ОБХОД,Rondas de Enseñanza,Utbildningsrond,,Legevisitter,,
C0315258,Hafnia,Hafnia,Hafnia,Hafnia,Hafnia,Hafnia,Hafnia,Hafnia,HAFNIA,Hafnia,Hafnia,,Hafnia,Hafnia,
C0035216,dýchací centrum,Respiratory Center,Hengityskeskus,Centre respiratoire,Atemzentrum,Centro respiratorio,Ośrodek oddechowy,Centro Respiratório,ДЫХАТЕЛЬНЫЙ ЦЕНТР,Centro Respiratorio,Andningscentrum,,Respirasjonssenter,Ademcentrum,Elpošanas centrs
C0003318,,,,,,,,,,,,,,Antigeen switchen,
C0001197,akrodermatitida,Acrodermatitis,Akrodermatiitti,Acrodermatite,Akrodermatitis,Acrodermatite,Zapalenie skóry kończyn zanikowe,Acrodermatite,АКРОДЕРМАТИТ,Acrodermatitis,Akrodermatit,AKRODERMATITIS,Akrodermatitt,"Dermatitis, acro-",
C0003518,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Małpa nocna,Aotus trivirgatus,AOTUS TRIVIRGATUS,Aotus trivirgatus,Aotus trivirgatus,,Aotus trivirgatus,Noordelijke nachtaap,
C0020017,dětské nemocnice,"Hospitals, Pediatric",Lastensairaalat,Hôpitaux pédiatriques,"Krankenhäuser, Kinder-",Ospedali pediatrici,Szpitale dziecięce,Hospitais Pediátricos,БОЛЬНИЦЫ ДЕТСКИЕ,Hospitales Pediátricos,Barnsjukhus,,Barnesykehus,"Ziekenhuis, kinder-",
C0242699,patologická demineralizace kostí,"Bone Demineralization, Pathologic",Patologinen luuston demineralisaatio,Déminéralisation osseuse pathologique,"Knochendemineralisierung, pathologische",Demineralizzazione patologica delle ossa,Demineralizacja kości patologiczna,Desmineralização Patológica Óssea,КОСТЕЙ ДЕМИНЕРАЛИЗАЦИЯ ПАТОЛОГИЧЕСКАЯ,Desmineralización Ósea Patológica,"Bendemineralisering, patologisk",,Patologisk beindemineralisering,"Demineralisatie, pathologische bot-",
C0379310,ras-GRF1,ras-GRF1,Ras-GRF1,Facteur ras-GRF1,ras-GRF1,ras-GRF1,Ras-GRF1,ras-GRF1,CDC25 ГУАНИНОВЫХ НУКЛЕОТИДОВ ОБМЕНА ФАКТОР,ras-GRF1,ras-GFR1,,,,
C0752088,,,,,,,,,,,,,,Passief overgebrachte experimentele autoimmune myasthenia gravis,
C0009254,coitus interruptus,Coitus Interruptus,Keskeytetty yhdyntä,Coït interrompu,Coitus interruptus,Coitus Interruptus,Stosunek przerywany,Coito Interrompido,КОИТУС ПРЕРВАННЫЙ,Coito Interrumpido,"Samlag, avbrutet",,Avbrutt samleie,Coitus interruptus,
C1017039,Ascophyllum,Ascophyllum,Ascophyllum,Ascophyllum,Ascophyllum,Ascophyllum,Ascophyllum,Ascophyllum,ASCOPHYLLUM,Ascophyllum,Ascophyllum,,Ascophyllum,Ascophyllum,
C5392137,radiační genomika,Radiation Genomics,,Génomique de la réponse aux rayonnements ionisants,Strahlungsgenomik,,Genomika radiacyjna,Genômica por Radiação,РАДИАЦИОННАЯ ГЕНОМИКА,Genómica de la Radiación,Not Translated[Radiation Genomics],,,,
C0017324,generalizace (psychologie),"Generalization, Psychological",Yleistäminen,Généralisation (psychologie),Generalisierung (Psychologie),Generalizzazione (Psicologia),Generalizacja,Generalização Psicológica,ГЕНЕРАЛИЗАЦИЯ ОТВЕТНЫХ РЕАКЦИЙ ПСИХОЛОГИЧЕСКАЯ,Generalización Psicológica,Generalisering (Psykologi),,"Generalisering, psykologi",Generalisatie (psychologie),
C0016538,předpověď,Forecasting,Ennustaminen,Prévision,Vorhersage,Previsioni,Przewidywanie,Previsões,ПРОГНОЗИРОВАНИЕ,Predicción,Prognostisering,PREDVIĐANJE,Prognoser,Voorspelling,
C0330362,Salsola,Salsola,Salsola,Salsola,Salsola,Salsola,Solanka,Salsola,СОЛЯНКА,Salsola,Salsola,,Salsola,Salsola iberica,
C0018083,,,,,,,,,,,,,,Gonyaulax,
C0031403,fenetidin,Phenetidine,Fenetidiini,Phénétidine,Phenetidin,Fenetidina,Fenetydyna,Fenetidina,ФЕНЕТИДИН,Fenetidina,Fenetidin,,,,
C0023213,obstrukce výtokového traktu levé komory srdeční,"Ventricular Outflow Obstruction, Left",,Obstacle à l'éjection ventriculaire gauche,"Ventrikuläre Ausflussobstruktion, links-",,Zwężenie odpływu komorowego lewego,Obstrução da Via de Saída Ventricular Esquerda,ОБСТРУКЦИЯ ПУТЕЙ ОТТОКА ЛЕВОГО ЖЕЛУДОЧКА,Obstrucción del Flujo de Salida Ventricular Izquierda,,,,Outflow-obstructie van linkerventrikel,
C0524746,,,,,,,,,,,,,,Grijze walvis,
C0524722,,,,,,,,,,,,,,Gastrointestinale chirurgie,
C0751547,,,,,,,,,,,,,,Juveniele temporale arteriitis,
C0020632,hypofyzektomie,Hypophysectomy,Hypofysektomia,Hypophysectomie,Hypophysektomie,Ipofisectomia,Hipofizektomia,Hipofisectomia,ГИПОФИЗЭКТОМИЯ,Hipofisectomía,Hypofysektomi,HIPOFIZEKTOMIJA,Hypofysektomi,Hypofysectomie,
C0317572,Haemophilus paragallinarum,Haemophilus paragallinarum,Haemophilus paragallinarum,Haemophilus paragallinarum,Haemophilus paragallinarum,Haemophilus paragallinarum,Haemophilus paragallinarum,Haemophilus paragallinarum,HAEMOPHILUS PARAGALLINARUM,Haemophilus paragallinarum,Haemophilus paragallinarum,,Haemophilus paragallinarum,Hemophilus paragallinarum,
C1033834,Barringtonia,Barringtonia,Barringtonia,Barringtonia,Barringtonia,Barringtonia,Barringtonia,Barringtonia,BARRINGTONIA,Barringtonia,Barringtonia,,Barringtonia,Barringtonia,
C0001255,infekce bakteriemi řádu Actinomycetales,Actinomycetales Infections,Actinomycetales-infektiot,Infections à Actinomycetales,Actinomycesinfektionen,Infezioni da Actinomycetales,Zakażenia Actinomycetales,Infecções por Actinomycetales,ACTINOMYCETALES ИНФЕКЦИИ,Infecciones por Actinomycetales,Actinomycetalesinfektioner,Not Translated[Actinomycetales Infections],Actinomycetalesinfeksjoner,"Infectie, actinomycetales-",
C0007102,,,,,,,,,,,,,,Tumor van de dikke darm,
C0043433,izotopy ytria,Yttrium Isotopes,Yttriumisotoopit,Isotopes de l'yttrium,Yttriumisotope,Isotopi di ittrio,Izotopy itru,Isótopos de Ítrio,ИТТРИЯ ИЗОТОПЫ,Isótopos de Itrio,Yttriumisotoper,,Yttriumisotoper,,
C0331561,,,,,,,,,,,,,,"Gierst, gewone",
C5780323,perkutánní indukce kolagenu,Percutaneous Collagen Induction,,Induction percutanée de collagène,,,Terapia indukcyjna kolagenem,Indução Percutânea de Colágeno,ПОДКОЖНАЯ ИНДУКЦИЯ КОЛЛАГЕНА,Inducción Percutánea del Colágeno,,,,,
C0600238,,,,,,,,,,,,,,Schildluizen,
C1042721,galgán,Alpinia,Alpinia,Alpinia,Alpinia,Alpinia,Alpinia,Alpinia,АЛЬПИНИЯ ЛЕКАРСТВЕННАЯ,Alpinia,Alpinia,,Alpinia,Alpinia,
C0085370,Amoebida,Amoebida,Amoebida,Amoebida,Amoebida,Amoebida,Amoebida,Amébidos,AMOEBIDA,Amébidos,Amoebida,,Amoebida,Amoebida,
C0003467,úzkost,Anxiety,Ahdistus,Anxiété,Angst,Ansia,Lęk,Ansiedade,ТРЕВОГИ СОСТОЯНИЕ,Ansiedad,Ångest,ANKSIOZNOST,Angst,Angst,
C0033497,propranolol,Propranolol,Propranololi,Propranolol,Propranolol,Propanololo,Propranolol,Propranolol,ПРОПРАНОЛОЛ,Propranolol,Propranolol,PROPRANOLOL,,,
C0085245,,,,,,,,,,,,,,Transgene planten,
C4505154,interdisciplinární výuka a učení,Interdisciplinary Placement,,Stage interdisciplinaire,Interdisziplinäre Vermittlung,Inserimento interdisciplinare,Nauczanie interdyscyplinarne,Práticas Interdisciplinares,МЕЖДИСЦИПЛИНАРНОЕ РАЗМЕЩЕНИЕ,Prácticas Interdisciplinarias,Tvärvetenskaplig lärande,,Not Translated[Interdisciplinary Placement],,
C0454691,Antarktida,Antarctic Regions,Antarktiset alueet,Régions antarctiques,Antarktische Regionen,Regioni antartiche,Rejon Antarktydy,Regiões Antárticas,АНТАРКТИЧЕСКИЕ РЕГИОНЫ,Regiones Antárticas,Antarktis,,Antarktis,Zuidpoolgebied,
C0006845,kandidóza chronická mukokutánní,"Candidiasis, Chronic Mucocutaneous",Krooninen mukokutaaninen kandidiaasi,Candidose mucocutanée chronique,"Kandidose, chronische mukokutane",Candidosi cronica mucocutanea,Kandydoza przewlekła śluzówkowo-skórna,Candidíase Mucocutânea Crônica,КАНДИДОЗ СЛИЗИСТО-КОЖНЫЙ ХРОНИЧЕСКИЙ,Candidiasis Mucocutánea Crónica,"Kandidos, kronisk mukokutan",,Kronisk candidainfeksjon i slimhinner,"Candidiasis, chronische mucocutane",
C1167109,paraskvrny,Paraspeckles,,Paraspeckles,Paraspeckles,,Paracętki,Paraspeckles,ПАРАСПЕКЛЫ,Paraspeckles,,,,,
C0752352,svalové atrofie,"Muscular Disorders, Atrophic",Lihasatrofiat,Amyotrophies,"Muskelstörungen, atrophische",Disturbi muscolari atrofici,Zaburzenia mięśniowe zanikowe,Transtornos Musculares Atróficos,МЫШЕЧНЫЕ РАССТРОЙСТВА АТРОФИЧЕСКИЕ,Trastornos Musculares Atróficos,"Muskelsjukdomar, atrofiska","Not Translated[Muscular Disorders, Atrophic]",Atrofiske muskelforstyrrelser,"Stoornis, atrofische spier-",
C0871504,strach ze zkoušky,Test Anxiety,,Anxiété de performance,Prüfungsangst,,Lęk przed testem,Ansiedade aos Exames,ПРЕДЭКЗАМЕНАЦИОННАЯ ТРЕВОЖНОСТЬ,Ansiedad ante los Exámenes,Tentaångest,,,,
C0024507,,,,,,,,,,,,,,Majewski-syndroom,
C0950020,tisovcovité,Cupressaceae,Cupressaceae,Cupressaceae,Cupressaceae,Cupressaceae,Cyprysowate,Cupressaceae,КИПАРИСОВЫЕ (СЕМЕЙСТВО),Cupressaceae,Cypressväxter,,Cupressaceae,Cupressaceae,
C0085486,Dickeya chrysanthemi,Dickeya chrysanthemi,Pectobacterium chrysanthemi,Pectobacterium chrysanthemi,Erwinia chrysanthemi,Erwinia chrysanthemi,Dickeya chrysanthemi,Dickeya chrysanthemi,PECTOBACTERIUM CHRYSANTHEMI,Dickeya chrysanthemi,Pectobacterium chrysanthemi,,Pectobacterium chrysanthemi,,
C0018807,masáž srdce,Heart Massage,Paineluelvytys,Massage cardiaque,Herzmassage,Massaggio cardiaco,Masaż serca,Massagem Cardíaca,СЕРДЦА МАССАЖ,Masaje Cardíaco,Hjärtmassage,"SRCE, MASAŽA",Hjertemassasje,Hartmassage,
C0005516,biologické markery,Biomarkers,Biologiset merkkiaineet,Marqueurs biologiques,Biologische Marker,Marker biologici,Markery biologiczne,Biomarcadores,БИОМАРКЕРЫ,Biomarcadores,Biomarkörer,BIOLOŠKI MARKERI,Biomarkører,,
C0013645,propedeutika stomatologická,"Education, Predental",Prekliininen hammaslääkärinkoulutus,Propédeutique dentisterie,"Ausbildung, vorklinisch-zahnmedizinische",Istruzione propedeutica per la scuola odontoiatrica,Propedeutyka stomatologiczna,Educação Pré-Odontológica,ОБРАЗОВАНИЕ ЗУБОВРАЧЕБНОЕ ПРЕДВАРИТЕЛЬНОЕ,Educación Preodontológica,"Tandläkarutbildning, förkunskaper",,"Prekliniske studier, tannlegevitenskap",Propedeutisch tandheelkundig onderwijs,
C0037003,,,,,,,,,,,,,,Jachtgeweren,
C0032381,politické systémy,Political Systems,Poliittiset järjestelmät,Systèmes politiques,Politische Systeme,Sistemi politici,Systemy polityczne,Sistemas Políticos,ПОЛИТИЧЕСКИЕ СИСТЕМЫ,Sistemas Políticos,Politiska system,POLITIČKI SUSTAVI,Politiske systemer,Politiek stelsel,
C0085302,onkogenní proteiny v-fos,Oncogene Proteins v-fos,V-fos-onkogeeniproteiinit,Protéines oncogènes v-fos,Onkogen-Proteine v-fos,Proteine oncogene v-fos,Białka onkogenne v-fos,Proteínas Oncogênicas v-fos,ОНКОГЕНА БЕЛКИ V-FOS,Proteínas Oncogénicas v-fos,Onkogenproteiner v-fos,,,,
C1011633,Holosporaceae,Holosporaceae,Holosporaceae,Holosporaceae,Holosporaceae,Holosporaceae,Holosporaceae,Holosporaceae,HOLOSPORACEAE,Holosporaceae,Holosporaceae,,Holosporaceae,Holosporaceae,
C0376445,kombinace anestetik,"Anesthetics, Combined",Yhdistelmäanesteetit,Anesthésiques combinés,Kombinationsnarkose,Anestetici combinati,Leki znieczulające łączone,Anestésicos Combinados,АНЕСТЕЗИРУЮЩИЕ СРЕДСТВА КОМБИНИРОВАННЫЕ,Anestésicos Combinados,"Anestetika, kombinerade","Anestetici, kombinirani",Kombinerte anestetika,,
C0005953,kostní dřeň,Bone Marrow,Luuydin,Moelle osseuse,Knochenmark,Midollo osseo,Szpik kostny,Medula Óssea,КОСТНЫЙ МОЗГ,Médula Ósea,Benmärg,KOŠTANA SRŽ,Beinmarg,Beenmerg,Kaulu smadzenes
